Folder,Repository,Languages,Twitter Profiles
"./participantes/ddanielvaz-cpp-qt","github.com/ddanielvaz/rinha-2024-q1-cpp-qt","C++,Scala,CMake,Makefile,Shell,Dockerfile","https://twitter.com/daniel_vaz1986"
"./participantes/ddanielvaz-cpp-qt","github.com/leandronsp/quokka","Scala,Rust,Shell,Makefile,Dockerfile","https://twitter.com/daniel_vaz1986"
"./participantes/ddd-nodejs","github.com/rythelle/rinha-backend-2024-1","Scala,JavaScript,PLpgSQL,PowerShell,Shell,Dockerfile","https://twitter.com/rythelle20"
"./participantes/delzin","github.com/Delfio/rinha-bck-q1","JavaScript,Dockerfile",""
"./participantes/deno-cassiogangrel","github.com/CassioGangrel/deno_rinha_2e","TypeScript,PLpgSQL,Dockerfile",""
"./participantes/densyy-bun","github.com/densyy/rinha-backend-2024","JavaScript,PLpgSQL,Dockerfile,Shell",""
"./participantes/devblack21","github.com/devblack21/rinha-backend-crebito","",""
"./participantes/devkemc-node","github.com/devkemc/api-rinha-node","JavaScript,PLpgSQL,Dockerfile","https://twitter.com/devkemc"
"./participantes/diego-coronel","github.com/DiegoCoronel/rinha-backend-01-2024","HTML,Scala,Kotlin,Shell","https://twitter.com/DiegoCoronelC"
"./participantes/diegoalexandrooliveira","github.com/diegoalexandrooliveira/rinha-back-end-q1-2024","Java",""
"./participantes/diegomarques-springboot","github.com/dmsantosd/rinha-backend","Java,Dockerfile",""
"./participantes/diegorsousa-spring-native","github.com/DiegoRSousa/rinha-de-backend-2024-q1-spring-native","Java,Dockerfile",""
"./participantes/diogoviana","github.com/dviana19/rinha-backend-2","Ruby,Dockerfile,Shell","https://twitter.com/dviana19"
"./participantes/dionesvfreitas","github.com/dionesvfreitas/rinha-de-backend-2024-q1-node","TypeScript,Dockerfile",""
"./participantes/direisc","github.com/direisc/rinha-2024q1-node","JavaScript,Dockerfile,Shell",""
"./participantes/dksedlak","github.com/dksedlak/rinha-de-backend-2024-q1","Go,Scala,Makefile,Shell,Dockerfile",""
"./participantes/doceazedo","github.com/doceazedo/rinha-de-backend-2024-q1","Scala,TypeScript,PLpgSQL,JavaScript,PowerShell,Shell,HTML,Dockerfile","https://twitter.com/doceazedo911"
"./participantes/dowingows-phalcon-php","github.com/Dowingows/rinha-backend-2024-q1-phalcon-php","PHP,Dockerfile,PLpgSQL,Shell","https://twitter.com/_domilos"
"./participantes/dreamagici4n","github.com/DreaMagici4n/rinha-backend-2024","JavaScript,Dockerfile,Shell",""
"./participantes/dridev","github.com/01Dri/rinha-de-backend-2024-q1_go","Go,Dockerfile",""
"./participantes/dridev_java","github.com/01Dri/rinha-de-backend-2024-q1_java","Java,Dockerfile",""
"./participantes/droderuan","github.com/droderuan/node-rinha-backend-2024q1","TypeScript,Shell,PowerShell",""
"./participantes/dscamargo","github.com/dscamargo/rinha-backend-2024-q1-golang","Go,PLpgSQL,Dockerfile,Makefile",""
"./participantes/dscorzoni-django","github.com/dscorzoni/rinha-django","Python,Dockerfile,Shell",""
"./participantes/dscorzoni-fastapi","github.com/dscorzoni/rinha-fastapi","Python,Shell,Dockerfile",""
"./participantes/dsinmsdj","github.com/dsinmsdj/camelo-de-rinha","Perl,Dockerfile",""
"./participantes/duke-bank","github.com/fercomunello/duke-bank-rb-2024","Java,Scala,PLpgSQL,Shell","https://twitter.com/fercomunello"
"./participantes/ecsbjunior-actix-rust","github.com/ecsbjunior/rinha-backend-actix-rust-2024","Rust,Dockerfile","https://twitter.com/ecsbJunior"
"./participantes/ed1000","github.com/edmilson1968/rinha-2024-q1","Java,Dockerfile",""
"./participantes/ed1000","github.com/dashaun/paketo-arm64","Shell",""
"./participantes/eddcp-nodejs","github.com/Eddcp/rinha-backend-nodejs","Scala,JavaScript,Shell,Dockerfile","https://twitter.com/nomadsedentario"
"./participantes/edersonlima-dotnet8","github.com/sonederbr/rinha-dotnet8","C#,PLpgSQL,PowerShell,Shell,Dockerfile","https://twitter.com/sonederdev"
"./participantes/edimarlnx","github.com/edimarlnx/rinha-de-backend-2024-q1-edimarlnx","Go,Dockerfile,Shell","https://twitter.com/edimarlnx"
